CyberShake Study ID,Model ID,Frequency (Hz),Rupture Generator,Velocity Model,Strain Green Tensor code,ERF,SGT,RupVar,Vel,ABFanalysis
15.4,CS-LA15.4,1.0,G&P 2014,CVM-S4.26,AWP-SGT GPU,36,8,6,5,yes
14.2,CS-LA14.2.a,0.5,G&P 2010,CVM-S4.26,AWP-SGT CPU,35,6,4,5,
,CS-LA14.2.b,0.5,G&P 2010,BBP 1D 13.9.0,AWP-SGT CPU,35,8,4,8,yes
,CS-LA14.2.c,0.5,G&P 2010,"CVM-H 11.9, no GTL",AWP-SGT GPU,35,6,4,7,yes
,CS-LA14.2.d,0.5,G&P 2010,CVM-S4.26,AWP-SGT GPU,35,8,4,5,yes
13.4,CS-LA13.4.a,0.5,G&P 2010,CVM-S 4.0,RWG v3.0.3,35,7,4,1,yes
,CS-LA13.4.b,0.5,G&P 2010,CVM-H 11.9,RWG v3.0.3,35,7,4,4,yes
,CS-LA13.4.c,0.5,G&P 2010,CVM-S 4.0,AWP-SGT CPU,35,6,4,1,
,CS-LA13.4.d,0.5,G&P 2010,CVM-H 11.9,AWP-SGT CPU,35,6,4,4,
1.0,CS-LA1.0,0.5,G&P 2007,CVM-S 4.0,RWG v1.16.3,35,5,3,1,yes
